filename,band,gain,exp_time,bg_mean,bg_median,bg_std,bg_mode,masked_frac
20260407T203237_420_Transient_DarkSubtracted_b_band.new,blue,0.2303646,3.969997,2406.53759765625,2400.0,429.5925598144531,2386.9248046875,0.08675387207080358
20260407T203241_390_Transient_DarkSubtracted_b_band.new,blue,0.2303646,3.969997,2407.497314453125,2400.0,429.16278076171875,2385.00537109375,0.07990546112843207
20260407T203233_450_Transient_DarkSubtracted_g_band.new,green,0.2303646,3.969997,1681.5172119140625,1680.0,262.8165283203125,1676.965576171875,0.10550764356833954
20260407T203237_420_Transient_DarkSubtracted_g_band.new,green,0.2303646,3.969997,1681.794677734375,1680.0,263.5543518066406,1676.41064453125,0.10333903248516545
20260407T203241_390_Transient_DarkSubtracted_g_band.new,green,0.2303646,3.969997,1681.4522705078125,1680.0,263.26025390625,1677.095458984375,0.09771007241275269
20260407T203233_450_Transient_DarkSubtracted_r_band.new,red,0.2303646,3.969997,2404.82080078125,2400.0,429.95965576171875,2390.3583984375,0.09816579503168057
20260407T203237_420_Transient_DarkSubtracted_r_band.new,red,0.2303646,3.969997,2404.2021484375,2400.0,429.381591796875,2391.595703125,0.09462687317710952
20260407T203241_390_Transient_DarkSubtracted_r_band.new,red,0.2303646,3.969997,2406.6123046875,2400.0,429.8973388671875,2386.775390625,0.07832771799255758
20260407T203403_496_Transient_DarkSubtracted_b_band.new,blue,0.2303646,3.969997,1708.051513671875,1696.0,369.9500732421875,1671.89697265625,0.125361435180529
20260407T203407_466_Transient_DarkSubtracted_b_band.new,blue,0.2303646,3.969997,1709.126220703125,1696.0,370.31634521484375,1669.74755859375,0.10154128532636025
20260407T203411_436_Transient_DarkSubtracted_b_band.new,blue,0.2303646,3.969997,1707.38671875,1696.0,371.1455383300781,1673.2265625,0.11310092527406215
20260407T203403_496_Transient_DarkSubtracted_g_band.new,green,0.2303646,3.969997,1142.609375,1136.0,224.70928955078125,1122.78125,0.1299312330282611
20260407T203407_466_Transient_DarkSubtracted_g_band.new,green,0.2303646,3.969997,1142.956787109375,1136.0,224.73973083496094,1122.08642578125,0.12875264004827516
20260407T203411_436_Transient_DarkSubtracted_g_band.new,green,0.2303646,3.969997,1142.443115234375,1136.0,225.08895874023438,1123.11376953125,0.15541398471286333
20260407T203403_496_Transient_DarkSubtracted_r_band.new,red,0.2303646,3.969997,1705.75390625,1696.0,370.28204345703125,1676.4921875,0.11479495625062858
20260407T203407_466_Transient_DarkSubtracted_r_band.new,red,0.2303646,3.969997,1706.8382568359375,1696.0,370.53424072265625,1674.323486328125,0.10697852760736197
20260407T203411_436_Transient_DarkSubtracted_r_band.new,red,0.2303646,3.969997,1705.5780029296875,1696.0,370.94281005859375,1676.843994140625,0.11083802675248919
20260407T203554_421_Transient_DarkSubtracted_b_band.new,blue,0.2303646,3.969997,10583.490234375,10592.0,1002.84326171875,10609.01953125,0.1363522075832244
20260407T203558_391_Transient_DarkSubtracted_b_band.new,blue,0.2303646,3.969997,10563.1923828125,10576.0,1006.4920043945312,10601.615234375,0.15658000603439606
20260407T203602_361_Transient_DarkSubtracted_b_band.new,blue,0.2303646,3.969997,10570.947265625,10576.0,1001.2797241210938,10586.10546875,0.14015199135069897
20260407T203554_421_Transient_DarkSubtracted_g_band.new,green,0.2303646,3.969997,10108.95703125,10144.0,810.1345825195312,10214.0859375,0.14900243890173992
20260407T203558_391_Transient_DarkSubtracted_g_band.new,green,0.2303646,3.969997,10114.1767578125,10152.0,809.1956176757812,10227.646484375,0.1470852609876295
20260407T203602_361_Transient_DarkSubtracted_g_band.new,green,0.2303646,3.969997,10116.0380859375,10152.0,809.5117797851562,10223.923828125,0.13340415367595293
20260407T203554_421_Transient_DarkSubtracted_r_band.new,red,0.2303646,3.969997,10549.349609375,10560.0,1002.722412109375,10581.30078125,0.15436425123202252
20260407T203558_391_Transient_DarkSubtracted_r_band.new,red,0.2303646,3.969997,10553.7509765625,10560.0,1005.92724609375,10572.498046875,0.15012445941868652
20260407T203602_361_Transient_DarkSubtracted_r_band.new,red,0.2303646,3.969997,10563.9384765625,10576.0,1004.7034912109375,10600.123046875,0.14488836367293573
20260407T203711_651_Transient_DarkSubtracted_b_band.new,blue,0.2303646,3.969997,9738.349609375,9744.0,899.9097290039062,9755.30078125,0.10138099668108216
20260407T203715_621_Transient_DarkSubtracted_b_band.new,blue,0.2303646,3.969997,9663.9765625,9664.0,894.3765869140625,9664.046875,0.10431333601528714
20260407T203711_651_Transient_DarkSubtracted_g_band.new,green,0.2303646,3.969997,9434.1845703125,9448.0,695.5454711914062,9475.630859375,0.11851931006738409
