filename,band,gain,exp_time,bg_median,bg_std,flux,m_sky,sigma_m
20260407T202303_508_Transient_DarkSubtracted_r_band.new,red,0.2303646,3.969997,3184.0,488.1868591308594,184.75603039498517,18.13477208848837,0.16646497266280594
20260407T202557_959_Transient_DarkSubtracted_b_band.new,blue,0.2303646,3.969997,6976.0,720.76220703125,404.7921067950429,17.28318855634117,0.11217481768546848
20260407T202601_929_Transient_DarkSubtracted_b_band.new,blue,0.2303646,3.969997,6976.0,718.4475708007812,404.7921067950429,17.28318855634117,0.11181458251410668
20260407T202605_899_Transient_DarkSubtracted_b_band.new,blue,0.2303646,3.969997,6976.0,717.1741943359375,404.7921067950429,17.28318855634117,0.11161640234955955
20260407T202557_959_Transient_DarkSubtracted_g_band.new,green,0.2303646,3.969997,5880.0,487.40966796875,341.1951817595832,17.4687614209621,0.08999671369280135
20260407T202601_929_Transient_DarkSubtracted_g_band.new,green,0.2303646,3.969997,5880.0,488.4290161132813,341.1951817595832,17.4687614209621,0.09018492904663088
20260407T202605_899_Transient_DarkSubtracted_g_band.new,green,0.2303646,3.969997,5880.0,489.85595703125,341.1951817595832,17.4687614209621,0.09044840349469867
20260407T202557_959_Transient_DarkSubtracted_r_band.new,red,0.2303646,3.969997,6960.0,718.1142578125,403.8636845317515,17.28568163712604,0.11201963357859646
20260407T202601_929_Transient_DarkSubtracted_r_band.new,red,0.2303646,3.969997,6976.0,720.5026245117188,404.7921067950429,17.28318855634117,0.11213441792321863
20260407T202605_899_Transient_DarkSubtracted_r_band.new,red,0.2303646,3.969997,6976.0,717.9979858398438,404.7921067950429,17.28318855634117,0.11174461198771767
20260407T202717_264_Transient_DarkSubtracted_b_band.new,blue,0.2303646,3.969997,10048.0,953.8649291992188,583.0491813469883,16.887005670169643,0.10306639665919505
20260407T202721_234_Transient_DarkSubtracted_b_band.new,blue,0.2303646,3.969997,10064.0,956.40234375,583.9776036102797,16.88527816589946,0.10317627430538306
20260407T202725_204_Transient_DarkSubtracted_b_band.new,blue,0.2303646,3.969997,10048.0,955.2030029296876,583.0491813469883,16.887005670169643,0.10321097733685926
20260407T202717_264_Transient_DarkSubtracted_g_band.new,green,0.2303646,3.969997,9560.0,757.3726806640625,554.7323023166012,16.941060005462194,0.08601250202897204
20260407T202721_234_Transient_DarkSubtracted_g_band.new,green,0.2303646,3.969997,9576.0,752.490966796875,555.6607245798926,16.939244392656562,0.0853153135600843
20260407T202725_204_Transient_DarkSubtracted_g_band.new,green,0.2303646,3.969997,9536.0,752.5516357421875,553.3396689216642,16.943789130162042,0.08568008713562218
20260407T202717_264_Transient_DarkSubtracted_r_band.new,red,0.2303646,3.969997,10032.0,956.8174438476562,582.1207590836971,16.888735927435842,0.10355030889009176
20260407T202721_234_Transient_DarkSubtracted_r_band.new,red,0.2303646,3.969997,10032.0,955.4177856445312,582.1207590836971,16.888735927435842,0.10339883272271408
20260407T202725_204_Transient_DarkSubtracted_r_band.new,red,0.2303646,3.969997,10032.0,951.718505859375,582.1207590836971,16.888735927435842,0.10299848303543895
20260407T203233_450_Transient_DarkSubtracted_b_band.new,blue,0.2303646,3.969997,2400.0,428.7953186035156,139.26333949370743,18.44167663187343,0.19397628225326538
20260407T203237_420_Transient_DarkSubtracted_b_band.new,blue,0.2303646,3.969997,2400.0,429.5925598144531,139.26333949370743,18.44167663187343,0.19433693424606324
20260407T203241_390_Transient_DarkSubtracted_b_band.new,blue,0.2303646,3.969997,2400.0,429.1627807617188,139.26333949370743,18.44167663187343,0.19414251294708257
20260407T203233_450_Transient_DarkSubtracted_g_band.new,green,0.2303646,3.969997,1680.0,262.8165283203125,97.4843376455952,18.82893153183779,0.16984518142700197
20260407T203237_420_Transient_DarkSubtracted_g_band.new,green,0.2303646,3.969997,1680.0,263.5543518066406,97.4843376455952,18.82893153183779,0.1703219998550415
20260407T203241_390_Transient_DarkSubtracted_g_band.new,green,0.2303646,3.969997,1680.0,263.26025390625,97.4843376455952,18.82893153183779,0.17013193908691407
20260407T203233_450_Transient_DarkSubtracted_r_band.new,red,0.2303646,3.969997,2400.0,429.9596557617188,139.26333949370743,18.44167663187343,0.19450299927520756
